Judul,Hoax Probability,Actual
klarifikasi ainun baharuddin kait meme tulis tusuk ka kalau amuk enak,0.2,BUKAN HOAX
warga cina tanam benih cabai kandung bakteri bahaya bogor,6.8,BUKAN HOAX
jepang khawatir infeksi corona lebih besar yang ungkap,0.0,BUKAN HOAX
bra isi cair sebab kanker payudara,99.0,HOAX
40 ribu tenaga kerja asal china morowali sedang awas,99.9,HOAX
sangka ujar benci dosen usu himma dewiyana bebas,0.0,HOAX
air rebus bawang putih sembuh virus corona,99.3,HOAX
uas ajak umat kalau belanja warung tanya dulu apa agama,100.0,HOAX
jokowi sengaja beda mudik pulang kampung kelabu virus corona,97.7,HOAX
mahfud md tidak jemput guru biar saja yang jemput hrs,98.5,HOAX
ulama windusari jemput paksa kait covid19,4.6,HOAX
bukan hoax fpi ikut buka sama masjidilaqsa,0.3,BUKAN HOAX
registrasi ulang nomor ponsel guna atas nama china,100.0,HOAX
olahraga indonesia sibuk 2021 usai olimpiade 2020 tunda,0.0,BUKAN HOAX
menang qc benyamin siap jalan program lawan tangsel,96.4,BUKAN HOAX
anggar renovasi kolam dprd dki jakarta usul orang percaya ahok ketua dprd dki jakarta fraksi pdip,1.1,BUKAN HOAX
selebaran giat budaya gawai dayak juli 2020,99.7,HOAX
5 cara posisi seks misionaris tak asa bosan,0.0,BUKAN HOAX
this baby ate the mothers bowel,51.3,HOAX
kpk terima lapor rugi negara belum tahan rj lino,0.1,BUKAN HOAX
lurus isi video kapolri tito bakal sambang markas habib rizieq,72.2,HOAX
video china balas as ikut campur konflik hong kong,65.1,BUKAN HOAX
serang masjid quwwatul pdip,2.0,BUKAN HOAX
covid19 sampai purwakarta,100.0,HOAX
sebab paspampres cegah anies baswedan damping jokowi serah piala presiden 2018,96.2,HOAX
merk pakai gap rupa singkat gay and proud,99.6,HOAX
tinju manny pacman bagibagi hadiah pandemi,67.3,HOAX
who sebut vegetarian kena covid19,96.2,HOAX
video resmi masjid besar rusia,99.9,HOAX
naik tarif tol karena jokowi,100.0,HOAX
tambah nyari duit amplop hasil ceramah berita kena ustadz abdul somad,72.3,HOAX
rashford cedera liverpool atas angin jelang lawan mu,0.0,BUKAN HOAX
orang anak sd lumajang lolos coba culi,100.0,HOAX
foto ridwan kamil sukmawati soekarnoputri saat resmi renovasi penjara bung karno banceuy,0.4,BUKAN HOAX
guru tk malaysia rekam aniaya murid tangkap,99.5,BUKAN HOAX
foto bakti jemaat gereja aceh singkil tengah gedung gereja yg roboh,100.0,HOAX
kartu askes laku per 1 oktober 2017,100.0,HOAX
pulau di kabupaten rau jual,99.8,HOAX
aja laku keras kalau larang takbir keliling,32.7,HOAX
juta bidang lahan sertifikat aceh,0.5,BUKAN HOAX
yasonna sebut john kei langgar bebas syarat sangka,0.0,BUKAN HOAX
tulis sujud menang pak prabowo buat anies baswedan,100.0,HOAX
jelas menteri agama kait kabar mina banjir tidak kondusif,0.0,HOAX
foto spanduk optimis pak jokowi tak bohong ingkar janji,99.8,HOAX
viral dunia bocah afrika hukum paksa nyanyi lagu bangsa china,99.4,HOAX
garagara psbb manusia telur,0.6,HOAX
surat wakalah infra struktur dana haji,99.4,HOAX
pilkada 2020 sumenep siap gelar,0.0,HOAX
megawati ubah pancasila,97.1,HOAX
akun twitter lawanpolitikjkw milik ferdinand hutahean,66.6,HOAX
cegah corona polres bangkal bubar resepsi nikah,0.0,BUKAN HOAX
ahok ucap kalimat syahadat ketua fpi tetes air mata,100.0,HOAX
bunuh beranta pancing korban guna bayi menang,99.6,HOAX
pakai nyaman lama karantina rumah sesuai zodiak,0.6,BUKAN HOAX
pandemi corona anies baswedan universitas jakarta libur universitas pancasila,0.1,HOAX
kemenhan aku tahu soal mark up proyek 1000 persen,0.0,BUKAN HOAX
takut corona pimpin iran absen pidato tahun baru sia,0.0,BUKAN HOAX
gangnam style psy tonton 36 miliar orang youtube,74.2,BUKAN HOAX
video bukti gmbi aniaya anggota fpi,100.0,HOAX
foto gus nuril berita kompastv judul ummat islam curang guna sihir serta aksi 212 ciamis lihat banyak,100.0,HOAX
mudah sebar berita palsu facebook,0.2,BUKAN HOAX
kalimantan barat panas,99.3,HOAX
dinas hubung beri jelas kait flyer tiket kapal gratis jembatan suramadu tutup,0.5,BUKAN HOAX
opera ular putih teater koma tayang streaming akhir pekan,69.7,BUKAN HOAX
iwan fals tanya ganti edhy prabowo,2.8,BUKAN HOAX
jokowi pernah bilang kangen demo janji sedia makan,84.2,HOAX
kemendikbud imbau sekolah bentuk tim cegah keras,1.7,BUKAN HOAX
saksi warga gempa pandeglang asa goyang banget,95.6,BUKAN HOAX
video saksi konser amal corona sama mike klepon,54.1,HOAX
viral video nusa penida penuh sampah plastik teliti bidang oseanografi beri klarifikasi,0.5,BUKAN HOAX
apa lucu buat rezim tetap pokus 2019gantipresiden,97.8,HOAX
kakek banten lapar hingga makan kapuk,1.2,HOAX
video 5 pasien suspect infeksi virus corona 1 tinggal dunia rsu dr kariadi semarangindonesia,100.0,HOAX
arab saudi mulai tadi malam buka lockdown,100.0,HOAX
pinjol akses ektp dpr sebut ada tuju warga,0.0,BUKAN HOAX
tabrak setan,100.0,HOAX
barcelona ancam hilang ansu fati hingga 5 bulan,0.0,BUKAN HOAX
ribu warga baduy gerak tuju ibukota,99.9,HOAX
ketika hadap demo 2122 jakarta,99.7,HOAX
diamdiam david beckham wamenapapua,99.7,HOAX
lapas tuminting kondusif 41 napi narkoba aman polda,22.9,BUKAN HOAX
harga 42 merek rokok naik hingga rp 50 ribu,74.6,HOAX
gambar jokowi ingat ciri orang munafik 3,100.0,HOAX
dimalaysia sdah coblos pak prabowo menang telak kotak surat suara bakar jalan mau bawa,99.9,HOAX
sabam sirait tinggal dunia 17 april 2020,100.0,HOAX
jelas kait nyata prabowo soal impor air debat capres,0.0,BUKAN HOAX
bahaya sinar kosmik lewat bumi malam hari,99.6,HOAX
polisi larang produksi jual kaos 2019gantipresiden,18.0,HOAX
ratus ton narkoba masuk indonesia biaya teroris,99.8,HOAX
polisi sebar poster dpo novel bamukmin,1.9,HOAX
jumlah mati corona inggris raya lewat angka 1000,0.2,BUKAN HOAX
ibas sorot kondisi ri zaman sby ekonomi roket,1.8,BUKAN HOAX
contoh baik gakbener dki,0.0,HOAX
anak yatim piatu tidur dalam atm pom bensin galur cempaka putih,99.7,BUKAN HOAX
geger binatang kebun binatang indonesia kurus,99.7,HOAX
jokowi pilih anak buah luhut jadi ketua komisioner lps,41.2,BUKAN HOAX
batal laga sahabat argentina kontra israel messi tolak tanding,0.0,HOAX
orang suporter tinggal laga tirapersikabo vs persija,99.7,HOAX
teman ahok siap bunuh diri pak ahox kalah pilkada 2017,99.4,HOAX
polwan kirim tiap malam datang soeta,99.6,HOAX
tanda tangan anies baswedan surat larang guna kawasan monas aktivis 98,98.3,HOAX
nestapa lombok blm akhir laut mulai retak2,46.0,HOAX
klarifikasi pt wijaya karya kait kabar ambruk proyek tol manadobitung,0.0,BUKAN HOAX
gibran kata bapak jadi pimpin tidak perlu pintar makanya akan mencanlonkan diri jadi walikota,100.0,HOAX
ada naruh bom sama tukang gojek islam sudut di tuduh teroris,99.9,HOAX
orang pasien awas covid19 amuk pintu rumah sakit pamekasan madura,100.0,HOAX
foto jari bentuk simbol l kader psi sama rawan jokowi sebut mulai stres,100.0,HOAX
anies piknik sama 5200 anak yatim dhuafa cuma liput 1 media,99.7,HOAX
pandu sosial media sehat,0.1,BUKAN HOAX
ada tas sembako jokowi rp 3 miliar ada sejak presiden dahulu,0.5,BUKAN HOAX
batik air rute soekarno hattadenpasar beku,100.0,BUKAN HOAX
satpol pp pakai sepeda brompton harga ratus juta hasil foyafoya uang rakyat,97.9,HOAX
aparat polisi sektor mimika baru aniaya warga,63.2,HOAX
deret klub pernah malu mu 6 gol,0.0,BUKAN HOAX
foto bantai bakar umat muslim myanmar tidak mau pindah agama,100.0,HOAX
1950s photobomb,86.6,HOAX
luhut perintah tnipolri tangkap pemda tutup bandara,98.7,HOAX
situs gurubpcom ini kerja menteri ojol koplak,96.1,HOAX
tuduh foto interior lab darurat covid19 labkesda dki hasil comot,100.0,HOAX
operasional kereta bandara,97.8,BUKAN HOAX
ajaib jadi hari amerika kanada lihat matahari,99.9,HOAX
thahir bina brimob,100.0,HOAX
foto wanita iran tonton piala dunia hijab jadi viral,99.7,BUKAN HOAX
duo sipit yg satu jadi dewan nasehat densusyg satu hendak mau jadi dewan nasehat mabes polri,100.0,HOAX
orang ibuibu tinggal akibat perosok setu babakan jagakarsa jakarta selatan,99.7,HOAX
polisi ntb bantah ada kabar ampo kopang pasca gempa lombok,0.2,BUKAN HOAX
audiensi masyrakat anti hoax kapolri,0.1,BUKAN HOAX
10 raja islam pertama indonesia jejak tinggal,86.2,BUKAN HOAX
taat loyalitas tni kepada presiden,100.0,HOAX
dukung fanatik jokowi tinggal jalan 15 kilometer,100.0,HOAX
jelas bmkg soal isu cuaca panas extreme landa indonesia,0.0,HOAX
aprilia umum 2 kandidat ganti iannone motogp 2021,0.0,BUKAN HOAX
pbsi gencar cegah sebar virus corona cipayung,20.3,BUKAN HOAX
komedian kelik lipur lara tinggal dunia,99.7,HOAX
mohamed salah traktir bensin suporter liverpool,0.5,BUKAN HOAX
indikasi cerdas memang dukung hastag 2019gantipresident,99.6,HOAX
dpr tuju minta anggar bi rp12 t 2021,0.0,BUKAN HOAX
kendara pribadi untuk butuh pokok lama psbb dki,0.6,BUKAN HOAX
update corona jatim 1 mei tembus 1031 kasus 165 sembuh,0.0,BUKAN HOAX
whatsapp kumpul dana kali gambar bagi,100.0,HOAX
aum raksasa dajjal bawah dasar laut samudra pasifik,99.8,HOAX
ngeri jembatan suramadu terjang ombak besar,99.8,HOAX
luthfi abdul had minta maaf kiai said aqil siroj,99.9,HOAX
melbourne nihil covid australia buka batas nswvictoria,0.0,BUKAN HOAX
ide gila nadiem makarim mangkas jumlah tahun didik sd smp sma,97.1,HOAX
pt waskita karya bantah adakan interview rekruitmen karyawan,1.0,HOAX
universitas muhammadiyah kupang bantah menginisasi gera gantipresiden2019,0.3,BUKAN HOAX
sudah siap senjata tuk bantai pribumi,98.6,HOAX
fahri hamzah anak mh lukman ketua cc pki,99.8,HOAX
bangkit listrik ganggu sri lanka gelap gulita,78.4,BUKAN HOAX
soal palestina jokowi duga ambigu tipu rakyat umat muslim,53.2,BUKAN HOAX
saksi prabowosandi ppk amalatu mati tebas leher putus,99.6,HOAX
perlu tahu ini jumlah video batai umat muslim rohingya,99.8,HOAX
pucuk surat teman arab saudi,100.0,BUKAN HOAX
tentara merah rrc pluit jkt,96.9,HOAX
dokter italia sengaja bunuh pasien virus corona,100.0,HOAX
pamlfet khofifah kena kks proyek pesta tikus,99.6,HOAX
buat video sudut bank bri pegawai bawaslu dki minta maaf,99.4,BUKAN HOAX
semua operator seluler sedia rbt jokowi,0.4,BUKAN HOAX
waspada dokter palsu pki tular hivaids lewat jarum suntik,98.6,HOAX
maruf sayang tolak jenazah pasien positif corona,0.0,BUKAN HOAX
kunci admin di bank nik nama ibu kandung,99.9,HOAX
tuduh nista agama walikota risma lapor polisi,0.0,BUKAN HOAX
klarifikasi kait isu langka gas lpg 3 kg bangka belitung,0.0,BUKAN HOAX
12 posisi seks paling banyak bakar kalori,0.0,BUKAN HOAX
teknik baru bppt tangkal hujan jabodetabek,97.6,BUKAN HOAX
heboh gas murah aljazair menteri esdm ikan klarifikasi,0.0,BUKAN HOAX
bukan love saudara salib,2.3,HOAX
kemenag bakal cepat bangun gereja baru papua,28.6,BUKAN HOAX
perintah tak umum kasus positif covid19,0.0,HOAX
morgan stanley nilai omnibus law dukung reformasi struktural,0.0,BUKAN HOAX
gadis 7 tahun angkat beban 80 kg jadi kuat dunia,97.4,BUKAN HOAX
google translate jokowi thu khang thi phu,85.6,HOAX
mesut ozil sindir indonesia wapresnya perihal uighur,30.3,HOAX
klarifikasi atas edar surat nyata bank mandiri rekening sofyan basir besar rp 104 triliun,99.8,BUKAN HOAX
4 bulan lalu hina presiden lebanon nyata turki kirim bantu pertama kali,99.9,HOAX
pki gelar lomba baca puisi universitas kalong,99.9,HOAX
ayah tepis bantu ferdian paleka kabur kasih waktu renung,97.7,BUKAN HOAX
kemenristekdikti lurus wacana dosen impor,0.4,BUKAN HOAX
vivo rilis ponsel flagship perangkat iot ri tahun,1.6,BUKAN HOAX
bunuh massal kedok corona,0.0,HOAX
ahok minta warga luar batang wakaf tanah plaza,94.8,BUKAN HOAX
photo of friday prayers in gaza today,100.0,HOAX
pssi pt lib siap lanjut liga 1 2020,0.0,BUKAN HOAX
mu kembali uang tiket liga europa suporter,0.0,BUKAN HOAX
jelang asi games jakarta makin cakep bravo aniessandi,2.0,HOAX
ada klaim anies kena rancang lapang banteng 0,0.4,BUKAN HOAX
pasien positif corona kurang 17 orang rsd wisma atlet,2.0,BUKAN HOAX
foto belgia pakai helikopter bawa pasien corona jerman,11.0,BUKAN HOAX
terb0ngkar c1n pk beli semua tanah strategi indonesia,99.6,HOAX
stray kids ajak stay pesta back door,99.5,BUKAN HOAX
undang acara dukung hmikahmi jokowi,100.0,HOAX
gambar uji vaksin covid19 sukses,98.6,HOAX
munarman sebut ada surat tahan rizieq,0.0,BUKAN HOAX
gubernur kalbar pakai sepatu dalam masjid,99.6,HOAX
jelas data fakta nyata djarot saiful hidayat banding kerja jokowi sby soal bangun sumut,0.7,BUKAN HOAX
klarifikasi polisi kait rumor korban bunuh pendeta henderson tengah hamil,0.0,BUKAN HOAX
binatang langka sangat bahaya dapat bunuh 4 jam,100.0,HOAX
surat panggil wawancara kerja pt angkasa pura ii juni 2020,99.9,HOAX
years of living dangerously last stand,0.5,BUKAN HOAX
judul berita minum air bekas cuci kaki jokowi lebih 10 warga langsung lari rumah sakit karna sluruh tubuh alami gatalgatal,100.0,HOAX
foto wagub dki sedang ada buah gereja tanya agama djarot,97.7,HOAX
pandang payudara 10 menit tiap hari panjang umur pria 5 tahun,97.3,HOAX
rieke memang pki yang salah,99.9,BUKAN HOAX
puisi tahun 1919 soal pandemi karya kathleen omara,0.0,HOAX
sari roti ubah nama jadi garmelia,99.8,HOAX
anies minta tempat ibadah zona merah corona tutup,0.0,BUKAN HOAX
anut islam kristen yahudi buddha hadir selandia baru alun asmaul husna kalimat tauhid hadap wabah corona,30.8,HOAX
aksi diam tolak omnibus law gelar lampung besok,0.1,BUKAN HOAX
fpi sebar spanduk habib rizieq dukung khilafah,0.5,BUKAN HOAX
austria lahar panas keluar perut bumi,99.7,HOAX
laku bunuh pulo mas ridwan sitorus alias ius pane tangkap medan,97.0,HOAX
klarifikasi divisi humas polri kait informasi anak china ancam tembak jokowi bebas,0.1,BUKAN HOAX
lahan 53 hektare sumsel bakar 3 hari api bara,63.3,BUKAN HOAX
konsumen tuntut produk quaker oats kandung pestisida,0.4,BUKAN HOAX
5 diet sehat turun berat badan,0.0,BUKAN HOAX
ahok datang gedung dprmpr tibatiba bau taik,100.0,HOAX
cekal corona pm malaysia tetap lockdown 1831 maret 2020,0.5,BUKAN HOAX
elisa granato kelinci coba vaksin kopit inggris tinggal 2 hari vaksin,80.8,HOAX
pesan singkat perihal biaya asuransi kirim barang jne nila juta rupiah,100.0,HOAX
ciduk duga oknum bais tni provokasi massa aksi 22 mei sudut polri,99.5,HOAX
foto jokov widodov,100.0,HOAX
71 pasien covid19 klaster hajat boyolali jemput tugas biaya beban milik hajat,94.2,HOAX
orang india dada hancur hp samsul mbleduk,100.0,BUKAN HOAX
foto dampak 16 hari lockdown italia,100.0,HOAX
imbas virus corona motogp argentina 2020 tunda,0.0,BUKAN HOAX
daun paku madiun,99.8,HOAX
arema sulit larang main ikut tarkam,0.2,BUKAN HOAX
infografis sepak terjang joe bidenkamala harris,0.7,BUKAN HOAX
modus cabul bius amen angkut kota purwakarta,99.9,HOAX
kenal pancasila fungsi nilai arti lambang,0.7,BUKAN HOAX
polisi klarifikasi tidak bom pasuruan,0.0,BUKAN HOAX
tol soreang pasirkoja gratis,100.0,HOAX
foals umum tunda konser jakarta virus corona,94.1,BUKAN HOAX
dejure megawati prabowo presiden wapres 2019 2024,100.0,HOAX
surat perintah data tenaga medis non medis rumah sakit tahun 2018,100.0,HOAX
main liga inggris dapat buka video porno isolasi,0.0,BUKAN HOAX
korsel ketat jaga jarak usai kasus hari covid tembus 500,0.0,BUKAN HOAX
tokoh isis syaikh al arif datang masjid istiqlal,99.7,HOAX
duga bangun pakai material kw 3 china,99.6,HOAX
tangkap layar artikel web kpu retas temu kejut jokowi angkat isu pki,100.0,HOAX
detikcom berita ketua umum psi nyata siap jadi menteri kabinet kerja jokowi,100.0,HOAX
tentara india bunuh kakek bocah lakilaki ambil batu bunuh bunuh kakek,100.0,HOAX
didik agama islam bahasa arab tiada sekolah madrasah ra mi mts ma,99.8,HOAX
baju pki aksi,100.0,HOAX
ajar foto viral bawa bendera demo depan gedung dpr tinggal dunia,100.0,HOAX
tak kenal laku novel bantah serang picu dendam,0.0,BUKAN HOAX
aplsi bantah harga listrik indonesia mahal dunia,0.0,BUKAN HOAX
pln benarbenar tak punya malu etika,1.3,HOAX
klarifikasi badan pegawai negara kait sebar surat angkat cpns palembang,0.0,BUKAN HOAX
rk terbit pergub psbb proporsional jadi pandu new normal,0.0,BUKAN HOAX
kapolri larang tutup alexis,100.0,HOAX
tni polri isu komunisme pki,98.6,BUKAN HOAX
dukung kh said aqil siradj prabowosandiaga,99.9,HOAX
usul kh wahid hasyim sebut agama negara indonesia islam,76.1,HOAX
kait corona tiga provinsi masuk zona rawan pilkada,0.0,BUKAN HOAX
spanduk adekadek korupsi larang gedung kpk,37.0,HOAX
tular difteri bumbu cabai kering kena air seni tikus,92.9,HOAX
presiden jokowi beli kendara dinas mercedes pullman guard c600 harga rp 12 m,99.5,HOAX
gajah mada agama islam,99.8,HOAX
bmkg mataram menghimbau warga langsung percaya bencana hebat akan jadi 26 agustus 2018 datang,89.5,BUKAN HOAX
foto satusatunya orang izin duduk kabah ini tukang bersihbersih,100.0,HOAX
mau pakai infrastruktur calon ibu kota,99.5,HOAX
lion air milik utang boeing airbus besar rp614 triliun,100.0,HOAX
klarifikasi bnpb kait isu usir rawan bpbd,0.0,BUKAN HOAX
aman laut jadi bahas prabowo menhan as,32.8,BUKAN HOAX
jelas jelas manusia pro pki,1.6,HOAX
juga makan janin bayi,99.9,HOAX
gedung putih banjir massa pro ahok tuntut fpi bubar,99.8,HOAX
vaksin pertama kali buat bawah khalifah ottoman tahun 1717,100.0,HOAX
bpbd bogor ingat potensi bencana gera tanah 22 camat,53.0,HOAX
daftar lengkap nominasi bafta tv awards 2020,0.0,BUKAN HOAX
bakal hapus menteri agama ganti nama,79.3,HOAX
terima kasih buat lagu bangsa baru,99.8,HOAX
pos indonesia jamin uang jika kirim paket lambat,63.2,BUKAN HOAX
kpk bantah berita palsu duga sudut novel baswedan,0.0,HOAX
musuh depan mata lawan pki culi segera di laksana,100.0,BUKAN HOAX
7 olahraga bakar banyak kalori,0.0,BUKAN HOAX
tni indonesia langgar batas timor leste,0.4,BUKAN HOAX
anies tanggul latuharhari mulai rembes air,94.1,BUKAN HOAX
beneran ikan duyung,87.8,HOAX
kepala bnpt minta wni luar negeri waspada beri donasi,3.5,BUKAN HOAX
netflix sebut uji coba paket langgan murah india,1.7,BUKAN HOAX
pulau batam anggap wilayah luar negeri,100.0,HOAX
masalah kapolri desak cabut tr hina jabat,0.4,BUKAN HOAX
kadin kaji dampak naik cukai teh botol dkk,47.7,BUKAN HOAX
16 juli 2020 jakarta putih triliun manusia membludak penuh dinding gedung dpr tiang monas,99.4,HOAX
larang sholat lima waktu istana,99.7,HOAX
tips mulai seks para perempuan,0.0,BUKAN HOAX
serang ulama pondok pesantren miftahul jannah karawang,42.8,HOAX
menang tko gaethje dua bonus sekaligus rp14 miliar,0.2,BUKAN HOAX
lensa kontak leleh barbeque,90.3,HOAX
ditjen bea cukai angkat bicara kait muncul informasi tawar hadiah pulsa masyarakat beri info jasa titip barang merek,99.7,HOAX
diy jadi daerah contoh new normal,17.4,HOAX
indochina foto kontainer southern hauliers,0.2,BUKAN HOAX
polisi tembak mati laku ampo minimarket depok,99.3,BUKAN HOAX
video pohon terbang ajaib kuasa allah di arab saudi,100.0,HOAX
foto cuit presiden tukar,100.0,HOAX
johnny g plate menteri kominfo beri gebrak gratis telepon,100.0,HOAX
surat halmahera tambang emas malu utara beri pihak asing,99.7,HOAX
hilang jasad tani sumut temu keliling buaya,0.3,BUKAN HOAX
otto hasibuan kuasa hukum prabowo sandi,99.7,HOAX
ratus warga china tetap indonesia tuju singapura virus corona,96.2,HOAX
klarifikasi menteri bumn atas isu bri akuisisi jiwasraya,0.2,BUKAN HOAX
bill gates luncur kapsul implan manusia lawan virus corona,79.7,HOAX
dampak psbb pegawai pelni begal jakarta utara,59.5,HOAX
daftar menu pesta kuliner gratis surabaya semarang,99.9,HOAX
sebut topan badai doa maruf amin,0.4,BUKAN HOAX
sakit makula,98.0,HOAX
aksi bela yesus,100.0,HOAX
foto nyata tik tok si empunya pki,100.0,HOAX
cekik lawan guendouzi lolos hukum fa,2.7,BUKAN HOAX
pulau natuna caplok china perintah diam,100.0,HOAX
salam jari kapal oleng kapten,96.8,HOAX
hasil liga inggris mu menang telak 52 atas bournemouth,0.0,BUKAN HOAX
milik akun warung indomie abang adek lontar komentar ras syukur bom kampung melayu,100.0,HOAX
video mayat timbul tanah kubur,100.0,HOAX
pandemi covid19 bikin orang lebih sering masturbasi,90.4,BUKAN HOAX
